Original File Size,Compressed File Size,Image Format,Compression Time,Compression Ratio,RMS Error
20575315,3373632,png,10.37605429,6.098861702,0
20575315,166826,jpeg,8.718000174,123.3339827,3.917790799
20575315,86910,webp,8.903997898,236.7427799,3.951546656
20575315,1465990,gif,9.033998728,14.03509915,-
20575315,10287702,bmp,8.749996901,1.999991349,0
36096019,9399393,png,17.64499092,3.840250003,0
36096019,706955,jpeg,15.3959949,51.05843936,7.628827933
36096019,497128,webp,16.54505897,72.6091047,7.670679325
36096019,5222219,gif,16.18600821,6.912007903,-
36096019,18048054,bmp,15.8029964,1.999995069,0
36096019,11329138,png,16.56200624,3.18612228,0
36096019,1178849,jpeg,15.56500268,30.61971381,11.66045675
36096019,1115066,webp,15.94999003,32.37119507,10.11314658
36096019,5870439,gif,16.11000204,6.148776778,-
36096019,18048054,bmp,15.37700081,1.999995069,0
36096019,10129623,png,17.66520953,3.563411886,0
36096019,1064846,jpeg,15.51294255,33.89787725,9.176723425
36096019,884652,webp,16.19899487,40.80250652,8.016272907
36096019,5254584,gif,16.2059958,6.869434193,-
36096019,18048054,bmp,15.99400091,1.999995069,0
37748755,1715574,png,18.9023118,22.0035714,0
37748755,440955,jpeg,19.12718105,85.60681929,5.82806136
37748755,272154,webp,22.10400128,138.7036568,4.872552534
37748755,811393,gif,21.60206342,46.52339249,-
37748755,18874422,bmp,20.87503982,1.999995285,0
37748755,7209842,png,19.51499963,5.235725693,0
37748755,358462,jpeg,16.02300024,105.30755,3.998334061
37748755,179906,webp,16.75199723,209.8248808,4.13104441
37748755,2594641,gif,16.72299933,14.54873911,-
37748755,18874422,bmp,16.09199977,1.999995285,0
44255251,5976277,png,20.13600016,7.405153911,0
44255251,401670,jpeg,18.58300781,110.1781338,4.450977507
44255251,226716,webp,19.0150075,195.2012694,4.041562151
44255251,2339676,gif,19.01603889,18.91511944,-
44255251,22127670,bmp,18.98800707,1.999995978,0
44255251,7890122,png,22.76200056,5.608943816,0
44255251,459732,jpeg,19.20062375,96.26315114,4.809742225
44255251,275074,webp,19.79599929,160.8848928,4.687769946
44255251,3670057,gif,19.62890577,12.05846421,-
44255251,22127670,bmp,18.93507147,1.999995978,0
44255251,12582848,png,21.14599967,3.517109243,0
44255251,937433,jpeg,18.79624438,47.20897493,11.11872339
44255251,844470,webp,19.09699965,52.40594811,10.36309036
44255251,6967136,gif,19.6200006,6.352000449,-
44255251,22127670,bmp,18.83900023,1.999995978,0
64065397,21751873,png,29.1159358,2.945281861,0
64065397,1326284,jpeg,28.46511078,48.30443329,14.63988983
64065397,1469936,webp,28.88697171,43.58380025,14.2298319
64065397,12341450,gif,29.03300047,5.19107536,-
64065397,32040666,bmp,27.82742643,1.999502663,0
66784225,19812066,png,31.27996731,3.370886459,0
66784225,1679480,jpeg,28.24900222,39.76482304,10.82065217
66784225,1504442,webp,29.72380972,44.39135906,10.20707399
66784225,9202231,gif,29.91800332,7.257394973,-
66784225,33396206,bmp,29.05156183,1.999754852,0
72726547,10782474,png,36.63845515,6.744884987,0
72726547,597268,jpeg,30.83693767,121.7653499,3.054139624
72726547,212910,webp,31.20793629,341.5835189,3.254933791
72726547,4699702,gif,32.27693081,15.47471457,0
72726547,36363318,bmp,31.11900043,1.999997552,0
166202419,48325194,png,86.52499127,3.439249908,0
166202419,3557084,jpeg,78.11809182,46.72434472,12.32055636
166202419,2893076,webp,76.9130044,57.44834183,11.29528732
166202419,24591251,gif,73.01701665,6.758599593,-
166202419,83101254,bmp,71.04243946,1.999998929,0
234317971,62212201,png,142.7945247,3.766431138,0
234317971,5180722,jpeg,123.2708979,45.22882544,7.555267444
234317971,4373294,webp,116.4388018,53.57928623,7.511250312
234317971,29895015,gif,109.9940057,7.838028213,-
234317971,117159030,bmp,112.3429954,1.99999924,0
